STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Katoomba,Blue Mountains,2014,11/09/2012,No,60,0,350,260,580,710,550,450,120,240,1660,1660,132,1715
North Ryde,Northern via Macquarie Park,2014,21/05/2014,Yes,0,0,230,990,260,280,980,250,170,110,1640,1640,133,1301
Panania,East Hills,2014,21/08/2013,No,30,10,800,510,270,180,480,660,30,260,1610,1610,134,510
Engadine,Illawarra,2014,14/06/2012,No,30,10,900,320,240,220,370,750,40,280,1580,1580,135,324
Warrawee,North Shore,2014,13/05/2014,Yes,10,10,670,660,110,120,770,580,20,210,1580,1580,135,1414
Banksia,Illawarra,2014,3/06/2014,Yes,10,10,980,110,280,230,250,920,40,300,1560,1560,137,305
Regents Park,Bankstown,2014,11/06/2014,Yes,20,10,520,540,340,280,600,560,60,150,1540,1540,138,616
Tempe,Illawarra,2014,3/06/2014,Yes,10,10,820,470,350,170,280,580,70,290,1530,1530,139,302
Springwood,Blue Mountains,2014,21/11/2013,No,90,0,790,220,250,280,340,750,50,270,1520,1520,140,1706
Cheltenham,Northern via Macquarie Park,2014,27/06/2013,No,10,10,740,480,300,200,420,540,10,250,1480,1480,141,1304
Asquith,North Shore,2014,27/03/2013,No,30,10,820,690,550,30,40,470,30,260,1470,1470,142,1418
Kirrawee,Illawarra,2014,22/08/2013,No,30,10,790,170,350,260,220,740,60,260,1450,1450,143,317
Thirroul,South Coast,2014,7/08/2012,No,50,10,950,70,330,160,90,880,20,310,1440,1440,144,1509
Hurlstone Park,Bankstown,2014,5/03/2013,No,10,10,900,90,320,270,120,660,20,320,1370,1370,145,605
Tuggerah,Central Coast,2014,7/11/2012,No,130,10,700,140,300,340,190,650,50,240,1370,1370,145,1813
Chester Hill,Bankstown,2014,14/08/2013,No,20,10,640,290,350,340,280,570,50,140,1340,1340,147,618
Woolooware,Illawarra,2014,27/05/2014,Yes,20,10,840,130,280,240,160,690,20,260,1320,1320,148,321
Macquarie Fields,East Hills,2014,14/08/2013,No,20,10,770,120,260,190,190,740,50,230,1290,1290,149,514
Yennora,South,2014,4/06/2014,Yes,20,10,450,340,240,200,390,510,130,150,1230,1230,150,705
Windsor,Western,2014,25/11/2014,Yes,40,10,390,120,250,230,480,610,60,240,1220,1220,151,918
Macdonaldtown,Inner West,2014,5/09/2013,No,10,10,570,240,200,210,290,500,90,200,1160,1160,152,1101
Birrong,Bankstown,2014,6/03/2013,No,10,10,540,340,310,170,260,470,20,160,1140,1140,153,614
Civic,Newcastle,2014,22/10/2014,Yes,10,20,170,430,330,310,510,180,80,160,1100,1100,154,1916
Bardwell Park,East Hills,2014,18/06/2013,No,10,10,770,40,200,180,90,600,10,260,1080,1080,155,502
Werrington,Western,2014,28/08/2013,No,20,10,680,60,220,190,140,600,10,220,1070,1070,156,926
Morisset,Newcastle,2014,20/11/2012,No,70,10,630,110,220,180,110,580,30,180,1060,1060,157,1903
Broadmeadow,Newcastle,2014,23/10/2014,Yes,50,20,470,170,270,290,230,370,20,170,1040,1040,158,1913
Marayong,Western,2014,27/03/2013,No,20,10,590,130,160,170,160,460,40,190,970,970,159,912
Newcastle,Newcastle,2014,21/10/2014,Yes,20,10,220,240,440,460,230,170,60,90,970,970,159,1917
Warabrook (University),Hunter,2014,29/08/2013,No,10,10,80,500,330,310,510,90,10,30,940,940,161,2002
Bexley North,East Hills,2014,5/06/2012,No,10,10,630,50,170,100,80,610,30,160,920,920,162,503
Riverstone,Western,2014,25/11/2014,Yes,30,10,400,150,180,190,230,400,40,130,880,880,163,915
Cardiff,Newcastle,2014,4/12/2012,No,70,20,400,130,170,160,160,440,70,150,870,870,164,1910
Richmond,Western,2014,25/11/2014,Yes,30,0,420,100,230,280,160,320,30,160,870,870,164,921
Hamilton,Newcastle,2014,15/10/2014,Yes,30,10,220,200,290,250,220,270,100,140,860,860,166,1914
East Hills,East Hills,2014,18/06/2013,No,20,10,580,50,140,140,80,500,20,140,840,840,167,511
Loftus,Illawarra,2014,14/06/2012,No,10,10,430,140,170,150,190,400,40,140,840,840,167,323
Como,Illawarra,2014,26/06/2012,No,10,10,650,20,130,60,30,570,10,180,830,830,169,314
Heathcote,Illawarra,2014,13/06/2013,No,20,10,440,230,280,100,80,370,10,130,830,830,169,325
Schofields,Western,2014,13/06/2013,No,40,10,640,20,90,80,40,510,10,210,820,820,171,914
Clyde,Western,2014,19/11/2013,No,10,10,250,270,160,170,250,240,100,80,770,770,172,902
Sefton,Bankstown,2014,11/06/2014,Yes,10,10,300,240,130,140,310,290,20,100,770,770,172,617
Villawood,Bankstown,2014,14/08/2013,No,10,10,290,140,220,230,180,290,50,90,750,750,174,620
Blaxland,Blue Mountains,2014,19/09/2012,No,40,0,470,50,130,110,60,400,20,160,720,720,175,1703
Helensburgh,South Coast,2014,21/08/2014,Yes,30,0,520,20,80,40,40,500,10,110,680,680,176,1501
Turrella,East Hills,2014,18/06/2013,No,10,10,380,110,140,110,100,300,40,130,670,670,177,501
Wickham,Newcastle,2014,16/10/2014,Yes,10,10,130,290,190,170,300,150,40,50,670,670,177,1915
Carramar,Bankstown,2014,19/06/2012,No,10,10,320,50,240,220,70,280,20,90,660,660,179,621
Maitland,Hunter,2014,3/06/2009,No,10,10,190,120,220,210,180,260,60,60,660,660,179,2012
Fassifern,Newcastle,2014,22/08/2013,No,30,10,310,110,160,120,110,290,10,100,620,620,181,1906
